Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2023,UTA,Saben Lee,DET,Trade,Justin Zanik,Troy Weaver,2024,2023Saben Lee,1.7
2023,UTA,Kelly Olynyk,DET,Trade,Justin Zanik,Troy Weaver,2024,2023Kelly Olynyk,12.2
2023,ATL,Vít Krejčí,OKC,Trade,Landry Fields,Sam Presti,2024,2023Vít Krejčí,1.6
2023,OKC,Maurice Harkless,ATL,Trade,Sam Presti,Landry Fields,2024,2023Maurice Harkless,3
2023,HOU,Derrick Favors,OKC,Trade,Rafael Stone,Sam Presti,2024,2023Derrick Favors,10.1
2023,HOU,Ty Jerome,OKC,Trade,Rafael Stone,Sam Presti,2024,2023Ty Jerome,1.5
2023,HOU,Théo Maledon,OKC,Trade,Rafael Stone,Sam Presti,2024,2023Théo Maledon,1.9
2023,OKC,Sterling Brown,HOU,Trade,Sam Presti,Rafael Stone,2024,2023Sterling Brown,2
2023,OKC,Trey Burke,HOU,Trade,Sam Presti,Rafael Stone,2024,2023Trey Burke,2.4
2023,BOS,Malcolm Brogdon,IND,Trade,Brad Stevens,Chad Buchanan,2024,2023Malcolm Brogdon,22.5
2023,IND,Malik Fitts,BOS,Trade,Chad Buchanan,Brad Stevens,2024,2023Malik Fitts,1.5
2023,IND,Juwan Morgan,BOS,Trade,Chad Buchanan,Brad Stevens,2024,2023Juwan Morgan,1.6
2023,IND,Aaron Nesmith,BOS,Trade,Chad Buchanan,Brad Stevens,2024,2023Aaron Nesmith,5.6
2023,IND,Nik Stauskas,BOS,Trade,Chad Buchanan,Brad Stevens,2024,2023Nik Stauskas,2
2023,IND,Daniel Theis,BOS,Trade,Chad Buchanan,Brad Stevens,2024,2023Daniel Theis,9.1
2023,DET,Alec Burks,NYK,Trade,Troy Weaver,Scott Perry,2024,2023Alec Burks,10.5
2023,DET,Nerlens Noel,NYK,Trade,Troy Weaver,Scott Perry,2024,2023Nerlens Noel,5
2023,LAL,Rui Hachimura,WAS,Trade,Rob Pelinka,Will Dawkins,2024,2023Rui Hachimura,6.3
2023,WAS,Kendrick Nunn,LAL,Trade,Will Dawkins,Rob Pelinka,2024,2023Kendrick Nunn,5.3
2023,BRK,Spencer Dinwiddie,DAL,Trade,Sean Marks,Nico Harrison,2024,2023Spencer Dinwiddie,20.2
2023,BRK,Dorian Finney-Smith,DAL,Trade,Sean Marks,Nico Harrison,2024,2023Dorian Finney-Smith,13.9
2023,DAL,Kyrie Irving,BRK,Trade,Nico Harrison,Sean Marks,2024,2023Kyrie Irving,37
2023,DAL,Markieff Morris,BRK,Trade,Nico Harrison,Sean Marks,2024,2023Markieff Morris,2.9
2023,MEM,Luke Kennard,LAC,Trade,Zach Kleiman,Michael Winger,2024,2023Luke Kennard,14.4
2023,LAL,Malik Beasley,UTA,Trade,Rob Pelinka,Justin Zanik,2024,2023Malik Beasley,16.5
2023,LAL,D'Angelo Russell,MIN,Trade,Rob Pelinka,Tim Connelly,2024,2023D'Angelo Russell,31.4
2023,LAL,Jarred Vanderbilt,UTA,Trade,Rob Pelinka,Justin Zanik,2024,2023Jarred Vanderbilt,4.7
2023,MIN,Nickeil Alexander-Walker,UTA,Trade,Tim Connelly,Justin Zanik,2024,2023Nickeil Alexander-Walker,4
2023,MIN,Mike Conley,UTA,Trade,Tim Connelly,Justin Zanik,2024,2023Mike Conley,24.4
2023,ATL,Saddiq Bey,DET,Trade,Landry Fields,Troy Weaver,2024,2023Saddiq Bey,4.5
2023,DET,James Wiseman,GSW,Trade,Troy Weaver,Mike Dunleavy Jr.,2024,2023James Wiseman,9.6
2023,GSW,Gary Payton II,POR,Trade,Mike Dunleavy Jr.,Joe Cronin,2024,2023Gary Payton II,8.7
2023,POR,Kevin Knox II,DET,Trade,Joe Cronin,Troy Weaver,2024,2023Kevin Knox II,3
2023,BRK,Mikal Bridges,PHO,Trade,Sean Marks,James Jones,2024,2023Mikal Bridges,21
2023,BRK,Cameron Johnson,PHO,Trade,Sean Marks,James Jones,2024,2023Cameron Johnson,18.6
2023,IND,George Hill,MIL,Trade,Chad Buchanan,Jon Horst,2024,2023George Hill,4
2023,IND,Serge Ibaka,MIL,Trade,Chad Buchanan,Jon Horst,2024,2023Serge Ibaka,2.9
2023,IND,Jordan Nwora,MIL,Trade,Chad Buchanan,Jon Horst,2024,2023Jordan Nwora,1.7
2023,MIL,Jae Crowder,PHO,Trade,Jon Horst,James Jones,2024,2023Jae Crowder,10.1
2023,PHO,Kevin Durant,BRK,Trade,James Jones,Sean Marks,2024,2023Kevin Durant,47.6
2023,PHO,T. J. Warren,BRK,Trade,James Jones,Sean Marks,2024,2023T. J. Warren,2.9
2023,CHO,Sviatoslav Mykhailiuk,NYK,Trade,Mitch Kupchak,Scott Perry,2024,2023Sviatoslav Mykhailiuk,1.8
2023,NYK,Josh Hart,POR,Trade,Scott Perry,Joe Cronin,2024,2023Josh Hart,12.9
2023,DEN,Thomas Bryant,LAL,Trade,Calvin Booth,Rob Pelinka,2024,2023Thomas Bryant,2.5
2023,LAC,Bones Hyland,DEN,Trade,Michael Winger,Calvin Booth,2024,2023Bones Hyland,2.3
2023,LAL,Mo Bamba,ORL,Trade,Rob Pelinka,John Hammond,2024,2023Mo Bamba,10.3
2023,LAL,Davon Reed,DEN,Trade,Rob Pelinka,Calvin Booth,2024,2023Davon Reed,#N/A
2024,MIL,Damian Lillard,POR,Trade,Jon Horst,Joe Cronin,2025,2024Damian Lillard,45.6
2024,PHO,Grayson Allen,MIL,Trade,James Jones,Jon Horst,2025,2024Grayson Allen,8.5
2024,BOS,Jrue Holiday,POR,Trade,Brad Stevens,Joe Cronin,2025,2024Jrue Holiday,36.4
2024,HOU,Victor Oladipo,OKC,Trade,Rafael Stone,Sam Presti,2025,2024Victor Oladipo,9.5
2024,LAC,James Harden,PHI,Trade,Trent Redden,Daryl Morey,2025,2024James Harden,35.6
2024,LAC,Filip Petrušev,PHI,Trade,Trent Redden,Daryl Morey,2025,2024Filip Petrušev,1.1
2024,LAC,P. J. Tucker,PHI,Trade,Trent Redden,Daryl Morey,2025,2024P. J. Tucker,11
2024,SAC,Filip Petrušev,LAC,Trade,Monte McNair,Trent Redden,2025,2024Filip Petrušev,1.1
2024,NYK,Precious Achiuwa,TOR,Trade,Leon Rose,Bobby Webster,2025,2024Precious Achiuwa,4.4
2024,DET,Danilo Gallinari,WAS,Trade,Troy Weaver,Will Dawkins,2025,2024Danilo Gallinari,6.8
2024,IND,Kira Lewis Jr.,NOP,Trade,Chad Buchanan,Trajan Langdon,2025,2024Kira Lewis Jr.,5.7
2024,MIA,Terry Rozier,CHO,Trade,Andy Elisburg,Mitch Kupchak,2025,2024Terry Rozier,23.2
2024,HOU,Steven Adams,MEM,Trade,Rafael Stone,Zach Kleiman,2025,2024Steven Adams,12.6
2024,BOS,Xavier Tillman,MEM,Trade,Brad Stevens,Zach Kleiman,2025,2024Xavier Tillman,1.9
2024,BOS,Jaden Springer,PHI,Trade,Brad Stevens,Daryl Morey,2025,2024Jaden Springer,2.3
2024,BRK,Dennis Schröder,TOR,Trade,Sean Marks,Bobby Webster,2025,2024Dennis Schröder,4.7
2024,CHO,Seth Curry,DAL,Trade,Mitch Kupchak,Nico Harrison,2025,2024Seth Curry,4.5
2024,CHO,Grant Williams,DAL,Trade,Mitch Kupchak,Nico Harrison,2025,2024Grant Williams,13.4
2024,CHO,Dāvis Bertāns,OKC,Trade,Mitch Kupchak,Sam Presti,2025,2024Dāvis Bertāns,17
2024,DAL,P. J. Washington,CHO,Trade,Nico Harrison,Mitch Kupchak,2025,2024P. J. Washington,13.5
2024,WAS,Richaun Holmes,DAL,Trade,Will Dawkins,Nico Harrison,2025,2024Richaun Holmes,12
2024,GSW,Cory Joseph,IND,Trade,Mike Dunleavy Jr.,Chad Buchanan,2025,2024Cory Joseph,3.2
2024,MIL,Patrick Beverley,PHI,Trade,Jon Horst,Daryl Morey,2025,2024Patrick Beverley,3.2
2024,MIL,Dimitrios Agravanis,SAC,Trade,Jon Horst,Monte McNair,2025,2024Dimitrios Agravanis,N/A
2024,TOR,Ochai Agbaji,UTA,Trade,Bobby Webster,Justin Zanik,2025,2024Ochai Agbaji,3.7
2024,TOR,Kelly Olynyk,UTA,Trade,Bobby Webster,Justin Zanik,2025,2024Kelly Olynyk,12.2
2024,BRK,Keita Bates-Diop,PHO,Trade,Sean Marks,James Jones,2025,2024Keita Bates-Diop,2.7
2024,BRK,Jordan Goodwin,PHO,Trade,Sean Marks,James Jones,2025,2024Jordan Goodwin,1.9
2024,PHO,Royce O'Neale,BRK,Trade,James Jones,Sean Marks,2025,2024Royce O'Neale,9.5
2024,PHO,David Roddy,MEM,Trade,James Jones,Zach Kleiman,2025,2024David Roddy,2.1
2024,IND,Furkan Korkmaz,PHI,Trade,Chad Buchanan,Daryl Morey,2025,2024Furkan Korkmaz,5.4
2024,IND,Doug McDermott,SAS,Trade,Chad Buchanan,Brian Wright,2025,2024Doug McDermott,13.8
2024,PHI,Buddy Hield,IND,Trade,Daryl Morey,Chad Buchanan,2025,2024Buddy Hield,19.3
2024,SAS,Marcus Morris Sr.,PHI,Trade,Brian Wright,Daryl Morey,2025,2024Marcus Morris Sr.,0.3
