Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
58,DEN,Thomas Welsh,2018,2019,2020,2021
59,PHO,George King,2018,2019,2020,2021
60,PHI,Kostas Antetokounmpo,2018,2019,2020,2021
1,NOP,Zion Williamson,2019,2020,2021,2022
2,MEM,Ja Morant,2019,2020,2021,2022
3,NYK,RJ Barrett,2019,2020,2021,2022
4,LAL,De'Andre Hunter,2019,2020,2021,2022
5,CLE,Darius Garland,2019,2020,2021,2022
6,PHO,Jarrett Culver,2019,2020,2021,2022
7,CHI,Coby White,2019,2020,2021,2022
8,ATL,Jaxson Hayes,2019,2020,2021,2022
9,WAS,Rui Hachimura,2019,2020,2021,2022
10,ATL,Cam Reddish,2019,2020,2021,2022
11,MIN,Cameron Johnson,2019,2020,2021,2022
12,CHO,P.J. Washington,2019,2020,2021,2022
13,MIA,Tyler Herro,2019,2020,2021,2022
14,BOS,Romeo Langford,2019,2020,2021,2022
15,DET,Sekou Doumbouya,2019,2020,2021,2022
16,ORL,Chuma Okeke,2019,2020,2021,2022
17,BRK,Nickeil Alexander-Walker,2019,2020,2021,2022
18,IND,Goga Bitadze,2019,2020,2021,2022
19,SAS,Luka Å amaniÄ,2019,2020,2021,2022
20,BOS,Matisse Thybulle,2019,2020,2021,2022
21,OKC,Brandon Clarke,2019,2020,2021,2022
22,BOS,Grant Williams,2019,2020,2021,2022
23,UTA,Darius Bazley,2019,2020,2021,2022
24,PHI,Ty Jerome,2019,2020,2021,2022
25,POR,Nassir Little,2019,2020,2021,2022
26,CLE,Dylan Windler,2019,2020,2021,2022
27,BRK,Mfiondu Kabengele,2019,2020,2021,2022
28,GSW,Jordan Poole,2019,2020,2021,2022
29,SAS,Keldon Johnson,2019,2020,2021,2022
30,MIL,Kevin Porter Jr.,2019,2020,2021,2022
,,Round 2,2019,2020,2021,2022
Pk,Tm,Player,2019,2020,2021,2022
31,BRK,Nic Claxton,2019,2020,2021,2022
32,PHO,KZ Okpala,2019,2020,2021,2022
33,PHI,Carsen Edwards,2019,2020,2021,2022
34,PHI,Bruno Fernando,2019,2020,2021,2022
35,ATL,Didi Louzada,2019,2020,2021,2022
36,CHO,Cody Martin,2019,2020,2021,2022
37,DAL,Deividas Sirvydis,2019,2020,2021,2022
38,CHI,Daniel Gafford,2019,2020,2021,2022
39,NOP,Alen SmailagiÄ,2019,2020,2021,2022
40,SAC,Justin James,2019,2020,2021,2022
41,GSW,Eric Paschall,2019,2020,2021,2022
42,PHI,Admiral Schofield,2019,2020,2021,2022
43,MIN,Jaylen Nowell,2019,2020,2021,2022
44,MIA,Bol Bol,2019,2020,2021,2022
45,DET,Isaiah Roby,2019,2020,2021,2022
46,ORL,Talen Horton-Tucker,2019,2020,2021,2022
47,SAC,Ignas Brazdeikis,2019,2020,2021,2022
48,LAC,Terance Mann,2019,2020,2021,2022
49,SAS,Quinndary Weatherspoon,2019,2020,2021,2022
50,IND,Jarrell Brantley,2019,2020,2021,2022
51,BOS,Tremont Waters,2019,2020,2021,2022
52,CHO,Jalen McDaniels,2019,2020,2021,2022
53,UTA,Justin Wright-Foreman,2019,2020,2021,2022
54,PHI,Marial Shayok,2019,2020,2021,2022
55,NYK,Kyle Guy,2019,2020,2021,2022
56,LAC,Jaylen Hands,2019,2020,2021,2022
57,NOP,Jordan Bone,2019,2020,2021,2022
58,GSW,Miye Oni,2019,2020,2021,2022
59,TOR,Dewan Hernandez,2019,2020,2021,2022
60,SAC,Vanja MarinkoviÄ,2019,2020,2021,2022
1,MIN,Anthony Edwards,2020,2021,2022,2023
2,GSW,James Wiseman,2020,2021,2022,2023
3,CHO,LaMelo Ball,2020,2021,2022,2023
4,CHI,Patrick Williams,2020,2021,2022,2023
5,CLE,Isaac Okoro,2020,2021,2022,2023
6,ATL,Onyeka Okongwu,2020,2021,2022,2023
7,DET,Killian Hayes,2020,2021,2022,2023
8,NYK,Obi Toppin,2020,2021,2022,2023
9,WAS,Deni Avdija,2020,2021,2022,2023
10,PHO,Jalen Smith,2020,2021,2022,2023
11,SAS,Devin Vassell,2020,2021,2022,2023
12,SAC,Tyrese Haliburton,2020,2021,2022,2023
13,NOP,Kira Lewis Jr.,2020,2021,2022,2023
